93.174.93.136 -  -  [27/Nov/2016:00:27:17 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
95.25.177.82 -  -  [27/Nov/2016:01:19:21 +0000] "GET http://t1.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:19:22 +0000] "POST http://t1.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:19:22 +0000] "GET http://46.148.21.14/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:19:23 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:21:17 +0000] "GET http://t10.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:21:18 +0000] "POST http://t10.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:21:20 +0000] "GET http://158.255.214.106/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:01:21:22 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
113.218.238.30 -  -  [27/Nov/2016:02:58:34 +0000] "CONNECT search.yahoo.com:443 HTTP/1.1" 404 1270 
123.249.29.201 -  -  [27/Nov/2016:07:02:41 +0000] "GET http://m.baidu.com/?rands=_1080085624434069683304048 HTTP/1.1" 200 4258 
123.249.29.201 -  -  [27/Nov/2016:07:02:43 +0000] "GET http://m.so.com/?rands=_16408154778823315163947136 HTTP/1.1" 200 4258 
47.197.188.114 -  -  [27/Nov/2016:08:23:28 +0000] "GET http://httpheader.net/ HTTP/1.1" 200 4258 
91.196.50.33 -  -  [27/Nov/2016:09:13:00 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1378 
185.159.37.9 -  -  [27/Nov/2016:09:55:26 +0000] "GET / HTTP/1.1" 200 4258 
185.159.37.9 -  -  [27/Nov/2016:09:55:26 +0000] "GET /HNAP1/ HTTP/1.1" 404 1371 
94.102.49.174 -  -  [27/Nov/2016:17:20:38 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
139.196.31.215 -  -  [27/Nov/2016:18:32:19 +0000] "GET /script HTTP/1.1" 404 1371 
79.133.201.40 -  -  [27/Nov/2016:19:18:51 +0000] "CONNECT www.google.pl:443 HTTP/1.1" 404 1270 
95.25.177.82 -  -  [27/Nov/2016:21:23:37 +0000] "GET http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:23:37 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:23:39 +0000] "GET http://95.47.161.39/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:23:41 +0000] "POST http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:25:29 +0000] "GET http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:25:30 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:25:36 +0000] "GET http://205.204.73.8/favicon.ico HTTP/1.1" 404 1376 
95.25.177.82 -  -  [27/Nov/2016:21:25:42 +0000] "POST http://t13.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
