93.174.93.136 -  -  [08/Dec/2016:00:08:38 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
91.196.50.33 -  -  [08/Dec/2016:00:55:00 +0000] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 1378 
95.25.97.222 -  -  [08/Dec/2016:03:16:58 +0000] "GET http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:16:58 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:16:58 +0000] "GET http://95.47.161.39/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:16:59 +0000] "POST http://t3.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:19:39 +0000] "GET http://t13.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:19:39 +0000] "POST http://t13.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:19:39 +0000] "GET http://46.108.39.147/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:03:19:40 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
180.150.188.118 -  -  [08/Dec/2016:03:29:37 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
123.59.83.40 -  -  [08/Dec/2016:12:25:57 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:54:30 +0000] "GET http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:54:30 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:54:31 +0000] "GET http://158.58.168.237/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:54:32 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:56:12 +0000] "GET http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:56:13 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:56:13 +0000] "GET http://41.223.52.162/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [08/Dec/2016:14:56:13 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
222.186.129.110 -  -  [08/Dec/2016:18:41:03 +0000] "GET /phpmyadmin HTTP/1.1" 404 1375 
185.110.132.231 -  -  [08/Dec/2016:23:17:53 +0000] "GET / HTTP/1.1" 200 4258 
198.12.15.59 -  -  [08/Dec/2016:23:45:37 +0000] "GET http://www.sgtsrj.com/index.aspx HTTP/1.1" 404 1375 
