91.196.50.33 -  -  [09/Dec/2016:02:47:56 +0000] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 1378 
95.25.97.222 -  -  [09/Dec/2016:03:25:03 +0000] "GET http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:25:03 +0000] "POST http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:25:04 +0000] "GET http://37.235.55.20/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:25:05 +0000] "POST http://t11.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:26:53 +0000] "GET http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:26:53 +0000] "POST http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:26:54 +0000] "GET http://95.47.161.39/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:03:26:54 +0000] "POST http://t11.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
180.150.187.155 -  -  [09/Dec/2016:04:15:43 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
93.174.93.136 -  -  [09/Dec/2016:04:31:42 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
123.249.29.201 -  -  [09/Dec/2016:05:26:30 +0000] "GET http://m.baidu.com/?rands=_1039871677220950921203840 HTTP/1.1" 200 4258 
123.249.29.201 -  -  [09/Dec/2016:05:26:31 +0000] "GET http://m.so.com/?rands=_22984016005003883065664 HTTP/1.1" 200 4258 
94.102.49.174 -  -  [09/Dec/2016:10:04:18 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
61.157.96.112 -  -  [09/Dec/2016:12:59:25 +0000] "GET http://www.sogou.com/?rands=_87451136407187043444120 HTTP/1.0" 200 4258 
61.157.96.112 -  -  [09/Dec/2016:12:59:26 +0000] "GET http://www.haosou.com/?rands=_928286751012711751451008 HTTP/1.0" 200 4258 
61.157.96.112 -  -  [09/Dec/2016:12:59:27 +0000] "GET http://www.baidu.com/?rands=_1153610551901026150465152 HTTP/1.0" 200 4258 
180.150.187.149 -  -  [09/Dec/2016:13:47:22 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:14:59:11 +0000] "GET http://t11.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:14:59:11 +0000] "POST http://t11.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:14:59:13 +0000] "GET http://213.229.68.140/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:14:59:15 +0000] "POST http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:15:00:33 +0000] "GET http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:15:00:33 +0000] "POST http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:15:00:34 +0000] "GET http://185.8.60.115/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [09/Dec/2016:15:00:36 +0000] "POST http://t9.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
192.40.89.70 -  -  [09/Dec/2016:17:03:02 +0000] "GET / HTTP/1.1" 200 4258 
103.37.149.232 -  -  [09/Dec/2016:23:02:42 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
