91.236.75.4 -  -  [14/Dec/2016:01:43:01 +0000] "GET http://www.google.com/reader/about/ HTTP/1.1" 404 1378 
91.196.50.33 -  -  [14/Dec/2016:10:13:04 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1378 
95.25.97.222 -  -  [14/Dec/2016:11:23:38 +0000] "GET http://t2.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:23:38 +0000] "POST http://t2.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:23:39 +0000] "GET http://158.255.214.106/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:23:40 +0000] "POST http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:25:06 +0000] "GET http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:25:06 +0000] "POST http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:25:07 +0000] "GET http://37.235.56.23/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:11:25:08 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
5.255.250.94 -  -  [14/Dec/2016:14:45:15 +0000] "GET /robots.txt HTTP/1.1" 404 1375 
180.150.187.160 -  -  [14/Dec/2016:18:50:46 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
123.59.58.116 -  -  [14/Dec/2016:19:24:07 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
185.110.132.231 -  -  [14/Dec/2016:20:19:20 +0000] "GET / HTTP/1.1" 200 4258 
95.25.97.222 -  -  [14/Dec/2016:23:55:29 +0000] "GET http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:55:29 +0000] "POST http://t17.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:55:30 +0000] "GET http://41.223.52.162/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:55:31 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:56:39 +0000] "GET http://t10.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:56:39 +0000] "POST http://t10.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:56:39 +0000] "GET http://213.229.68.140/favicon.ico HTTP/1.1" 404 1376 
95.25.97.222 -  -  [14/Dec/2016:23:56:40 +0000] "POST http://t13.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
