180.150.187.160 -  -  [20/Dec/2016:02:19:45 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
113.161.146.23 -  -  [20/Dec/2016:09:11:43 +0000] "GET / HTTP/1.0" 200 4258 
95.25.125.36 -  -  [20/Dec/2016:10:19:35 +0000] "GET http://t3.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:19:35 +0000] "POST http://t3.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:19:36 +0000] "GET http://37.235.55.20/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:19:36 +0000] "POST http://t7.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:20:45 +0000] "GET http://t5.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:20:45 +0000] "POST http://t5.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:20:46 +0000] "GET http://37.235.53.161/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:10:20:47 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
103.37.144.246 -  -  [20/Dec/2016:12:31:41 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
1.34.133.28 -  -  [20/Dec/2016:12:42:01 +0000] "GET / HTTP/1.0" 200 4258 
123.59.45.58 -  -  [20/Dec/2016:16:42:49 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
185.49.14.190 -  -  [20/Dec/2016:19:13:39 +0000] "GET http://testp4.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1378 
95.25.125.36 -  -  [20/Dec/2016:21:01:28 +0000] "GET http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:01:28 +0000] "POST http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:01:29 +0000] "GET http://158.58.168.237/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:01:30 +0000] "POST http://t2.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:02:15 +0000] "GET http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:02:15 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:02:16 +0000] "GET http://91.233.116.5/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [20/Dec/2016:21:02:17 +0000] "POST http://t8.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
183.36.111.83 -  -  [20/Dec/2016:23:37:31 +0000] "CONNECT www.baidu.com HTTP/1.1" 404 1280 
