91.196.50.33 -  -  [25/Dec/2016:00:07:15 +0000] "GET http://testp3.pospr.waw.pl/testproxy.php HTTP/1.1" 404 1378 
170.210.120.153 -  -  [25/Dec/2016:02:18:24 +0000] "HEAD / HTTP/1.0" 200 0 
23.251.55.38 -  -  [25/Dec/2016:06:25:31 +0000] "GET http://www.baidu.com/?rands=_476044740837905454321332 HTTP/1.0" 200 4258 
null -  -  [25/Dec/2016:06:25:31 +0000] "GET http://23.251.55.38/index.html?rands=_83972123961083722109408 HTTP/1.0" 404 1375 
95.25.125.36 -  -  [25/Dec/2016:10:03:19 +0000] "GET http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:03:19 +0000] "POST http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:03:19 +0000] "GET http://104.156.57.169/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:03:20 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:04:14 +0000] "GET http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:04:14 +0000] "POST http://t16.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:04:15 +0000] "GET http://46.108.39.147/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:10:04:16 +0000] "POST http://t12.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
58.218.205.84 -  -  [25/Dec/2016:10:56:26 +0000] "GET /manager/html HTTP/1.1" 404 1377 
120.132.68.142 -  -  [25/Dec/2016:11:30:41 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
188.0.236.122 -  -  [25/Dec/2016:14:09:42 +0000] "GET / HTTP/1.1" 200 4258 
188.0.236.122 -  -  [25/Dec/2016:14:09:43 +0000] "GET /HNAP1/ HTTP/1.1" 404 1371 
23.251.55.38 -  -  [25/Dec/2016:15:17:06 +0000] "GET http://www.baidu.com/?rands=_11360117582024656462783196 HTTP/1.0" 200 4258 
23.251.55.38 -  -  [25/Dec/2016:15:17:07 +0000] "GET http://23.251.55.38/index.html?rands=_202025382221693263390240 HTTP/1.0" 404 1375 
91.236.75.4 -  -  [25/Dec/2016:15:37:30 +0000] "GET http://www.google.com/ HTTP/1.1" 200 4258 
93.174.93.136 -  -  [25/Dec/2016:17:22:40 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
95.25.125.36 -  -  [25/Dec/2016:22:31:27 +0000] "GET http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:31:27 +0000] "POST http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:31:31 +0000] "GET http://23.227.199.190/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:31:33 +0000] "POST http://t6.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:32:07 +0000] "GET http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:32:07 +0000] "POST http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:32:07 +0000] "GET http://205.204.73.8/favicon.ico HTTP/1.1" 404 1376 
95.25.125.36 -  -  [25/Dec/2016:22:32:08 +0000] "POST http://t12.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
