93.174.93.136 -  -  [17/Jan/2017:02:37:45 +0000] "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1" 404 1388 
23.251.55.38 -  -  [17/Jan/2017:04:57:11 +0000] "GET http://www.baidu.com/?rands=_1098670407253071562399904 HTTP/1.0" 200 4258 
null -  -  [17/Jan/2017:04:57:11 +0000] "GET http://23.251.55.38/index.html?rands=_2486411206204933502839552 HTTP/1.0" 404 1375 
91.236.75.4 -  -  [17/Jan/2017:07:32:19 +0000] "GET http://www.google.com/ HTTP/1.1" 200 4258 
91.196.50.33 -  -  [17/Jan/2017:08:25:18 +0000] "GET http://testp1.piwo.pila.pl/testproxy.php HTTP/1.1" 404 1378 
180.150.187.149 -  -  [17/Jan/2017:10:22:24 +0000] "GET http://www.baidu.com/favicon.ico HTTP/1.1" 404 1376 
91.236.75.4 -  -  [17/Jan/2017:11:43:44 +0000] "GET http://www.google.com/ HTTP/1.1" 200 4258 
95.25.234.30 -  -  [17/Jan/2017:13:00:06 +0000] "GET http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:00:06 +0000] "POST http://t15.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:00:06 +0000] "GET http://104.156.57.169/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:00:06 +0000] "POST http://t14.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:02:50 +0000] "GET http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:02:50 +0000] "POST http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:02:51 +0000] "GET http://196.41.139.218/favicon.ico HTTP/1.1" 404 1376 
95.25.234.30 -  -  [17/Jan/2017:13:02:51 +0000] "POST http://t4.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
23.251.55.38 -  -  [17/Jan/2017:13:57:50 +0000] "GET http://www.baidu.com/?rands=_19334173091617353054891616 HTTP/1.0" 200 4258 
null -  -  [17/Jan/2017:13:57:50 +0000] "GET http://23.251.55.38/index.html?rands=_34833365031624952834100 HTTP/1.0" 404 1375 
61.164.149.128 -  -  [17/Jan/2017:14:45:39 +0000] "GET http://www.server110.com/ HTTP/1.1" 200 4258 
61.164.149.128 -  -  [17/Jan/2017:14:45:40 +0000] "CONNECT www.linode.com:443 HTTP/1.1" 404 1270 
61.164.149.128 -  -  [17/Jan/2017:14:45:46 +0000] "CONNECT www.linode.com:443 HTTP/1.1" 404 1270 
23.251.55.38 -  -  [17/Jan/2017:22:58:26 +0000] "GET http://www.baidu.com/?rands=_8640200123029060432927096 HTTP/1.0" 200 4258 
null -  -  [17/Jan/2017:22:58:26 +0000] "GET http://23.251.55.38/index.html?rands=_897510669243176076883908 HTTP/1.0" 404 1375 
