91.236.75.4 -  -  [30/Jan/2017:06:17:51 +0000] "GET http://www.google.com/ HTTP/1.1" 200 4258 
62.244.196.50 -  -  [30/Jan/2017:08:24:18 +0000] "GET / HTTP/1.0" 200 4258 
null -  -  [30/Jan/2017:10:02:00 +0000] "GET /cgi/common.cgi HTTP/1.0" 404 1379 
191.177.189.176 -  -  [30/Jan/2017:10:02:00 +0000] "GET /stssys.htm HTTP/1.0" 404 1375 
191.177.189.176 -  -  [30/Jan/2017:10:02:01 +0000] "GET / HTTP/1.0" 200 4258 
191.177.189.176 -  -  [30/Jan/2017:10:02:01 +0000] "POST /command.php HTTP/1.0" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:13:26 +0000] "GET http://t1.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:13:26 +0000] "POST http://t1.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:13:26 +0000] "GET http://91.233.116.5/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:13:29 +0000] "POST http://t19.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:15:56 +0000] "GET http://t4.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:15:56 +0000] "POST http://t4.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:15:56 +0000] "GET http://46.108.39.147/favicon.ico HTTP/1.1" 404 1376 
93.81.89.249 -  -  [30/Jan/2017:10:15:57 +0000] "POST http://t5.proxy-checks.com/favicon.ico HTTP/1.1" 404 1376 
23.251.55.38 -  -  [30/Jan/2017:15:31:37 +0000] "GET http://www.baidu.com/?rands=_8514206790413063446015880 HTTP/1.0" 200 4258 
null -  -  [30/Jan/2017:15:31:37 +0000] "GET http://23.251.55.38/index.html?rands=_1041063855424560013680496 HTTP/1.0" 404 1375 
185.110.132.231 -  -  [30/Jan/2017:16:20:00 +0000] "GET / HTTP/1.1" 200 4258 
198.20.69.98 -  -  [30/Jan/2017:21:45:08 +0000] "GET / HTTP/1.1" 200 4258 
