STATUS | wrapper  | 2009/04/21 11:26:25 | --> Wrapper Started as Service
STATUS | wrapper  | 2009/04/21 11:26:25 | Launching a JVM...
INFO   | jvm 1    | 2009/04/21 11:26:28 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2009/04/21 11:26:28 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2009/04/21 11:26:28 | 
INFO   | jvm 1    | 2009/04/21 11:26:33 | *sys-package-mgr*: processing modified jar, 'C:\Documents and Settings\Lapo\Desktop\sfs-166-dist\Server\lib\jysfs.jar'
INFO   | jvm 1    | 2009/04/21 11:26:36 | |::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::|
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                                                            |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |              ...:::  SmartFoxServer :::...                 |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                Multiplayer Socket Server                   |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                      version 1.6.6                         |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                           ---                              |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |              (c) 2004 - 2009 gotoAndPlay()                 |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                  www.smartfoxserver.com                    |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                    www.gotoandplay.it                      |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |                                                            |
INFO   | jvm 1    | 2009/04/21 11:26:36 | |::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::|
INFO   | jvm 1    | 2009/04/21 11:26:36 | 
INFO   | jvm 1    | 2009/04/21 11:26:40 | ::::::::::: { BlueBox INITED } ::::::::::::
INFO   | jvm 1    | 2009/04/21 11:26:40 | :                                         :
INFO   | jvm 1    | 2009/04/21 11:26:40 | : Version 1.0.5 -- (c) 2008 gotoAndPlay() :
INFO   | jvm 1    | 2009/04/21 11:26:40 | :                                         :
INFO   | jvm 1    | 2009/04/21 11:26:40 | :::::::::::::::::::::::::::::::::::::::::::
INFO   | jvm 1    | 2009/04/21 11:26:41 | 11:26:41.968 - [ INFO ] > Starting h2 engine...
INFO   | jvm 1    | 2009/04/21 11:26:44 | 
INFO   | jvm 1    | 2009/04/21 11:26:44 | 
INFO   | jvm 1    | 2009/04/21 11:26:44 | --- [ System Info ] ------------------------------------------
INFO   | jvm 1    | 2009/04/21 11:26:44 | 
INFO   | jvm 1    | 2009/04/21 11:26:44 | System CPU(s): 1
INFO   | jvm 1    | 2009/04/21 11:26:44 | VM Max memory: 66 MB
INFO   | jvm 1    | 2009/04/21 11:26:44 | 
INFO   | jvm 1    | 2009/04/21 11:26:44 | os.name: Windows XP
